time,grid_load,soc
0.0,6.48,3.3333333333333335
1.0,6.48,6.666666666666667
2.0,6.48,10.000000000000002
3.0,6.48,13.333333333333334
4.0,6.48,16.666666666666664
5.0,6.48,20.0
6.0,6.48,23.333333333333332
7.0,6.48,26.666666666666668
8.0,6.48,30.0
9.0,6.48,33.33333333333333
10.0,6.48,36.66666666666667
11.0,6.48,40.00000000000001
12.0,6.48,43.33333333333334
13.0,6.48,46.66666666666668
14.0,6.48,50.000000000000014
15.0,6.48,53.33333333333336
16.0,6.48,56.666666666666686
17.0,6.48,60.00000000000002
18.0,6.48,63.33333333333335
19.0,6.48,66.6666666666667
20.0,6.48,70.00000000000003
21.0,6.48,73.33333333333336
22.0,6.48,76.6666666666667
23.0,6.48,80.00000000000004
24.0,6.48,83.33333333333337
25.0,5.396084701777549,86.10909706881566
26.0,4.493476868635445,88.42055636338122
27.0,3.7418490414560166,90.34537582915078
28.0,3.1159466618768183,91.94822905028082
29.0,2.5947395237204183,93.28297160363493
30.0,2.1607151618897076,94.39445059637656
31.0,1.7992904367240485,95.32001152061731
32.0,1.4983215431576054,96.09075305516342
33.0,1.2476959810766164,96.73257197547032
34.0,1.0389927771538363,97.2670332805906
35.0,0.8651995416754906,97.71209477322202
36.0,0.7204768535216143,98.0827104386138
37.0,0.5999620566779016,98.39133289575264
38.0,0.4996058758775648,98.64833180309707
39.0,0.4160363616884407,98.86234227721663
40.0,0.34644559362502875,99.04055503113898
41.0,0.2884953345305952,99.18895798100039
42.0,0.24023846623375628,99.31253743893956
43.0,0.20005356673186311,99.41544565227899
44.0,0.1665904307064569,99.50114031828025
45.0,0.1387247028700067,99.57250076214342
46.0,0.11552009983263554,99.63192468181042
47.0,0.09619695115041661,99.68140871017997
48.0,0.0801060025401859,99.72261550161011
49.0,0.06670660105364977,99.75692959680231
50.0,0.055548529236601425,99.78550394311743
51.0,0.046256877904300615,99.80929863339742
52.0,0.0385194492610167,99.82911316491028
53.0,0.03207626711084393,99.84561330231298
54.0,0.026710841704777014,99.85935344722286
55.0,0.022242895724498273,99.87079526601119
56.0,0.018522306997252852,99.88032320170936
57.0,0.015424064418133229,99.88825739122487
58.0,0.012844067599678996,99.89486442188313
59.0,0.010695629117781567,99.90036628871327
60.0,0.008906561829991914,99.90494785344065
